Media,Sample,Day_Replicate,OD,Day,Technical_Replicate,Sample_Type,Combined_Group,X_Axis_Time_Days
No Glucose,Filtered Cyano 3,Day 3 Replicate #1,0.171,3,1,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 4,Day 3 Replicate #1,0.107,3,1,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 5,Day 3 Replicate #1,0.058,3,1,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 6,Day 3 Replicate #1,0.08,3,1,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,No Cyano 5,Day 3 Replicate #1,0.097,3,1,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 6,Day 3 Replicate #1,0.087,3,1,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 7,Day 3 Replicate #1,0.073,3,1,No Cyano,No Glucose + No Cyano,3
Regular HS,No Cyano 1,Day 3 Replicate #1,0.065,3,1,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 2,Day 3 Replicate #1,0.094,3,1,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 3,Day 3 Replicate #1,0.068,3,1,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 4,Day 3 Replicate #1,0.136,3,1,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 5,Day 3 Replicate #1,0.081,3,1,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 6,Day 3 Replicate #1,0.085,3,1,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 7,Day 3 Replicate #1,0.137,3,1,No Cyano,Regular HS + No Cyano,3
No Glucose,No Cyano 1,Day 3 Replicate #2,0.055,3,2,No Cyano,No Glucose + No Cyano,3
No Glucose,Filtered Cyano 1,Day 3 Replicate #2,0.148,3,2,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,No Cyano 2,Day 3 Replicate #2,0.051,3,2,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 3,Day 3 Replicate #2,0.048,3,2,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 4,Day 3 Replicate #2,0.049,3,2,No Cyano,No Glucose + No Cyano,3
No Glucose,Filtered Cyano 2,Day 3 Replicate #2,0.164,3,2,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 3,Day 3 Replicate #2,0.177,3,2,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 4,Day 3 Replicate #2,0.112,3,2,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 5,Day 3 Replicate #2,0.076,3,2,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,Filtered Cyano 6,Day 3 Replicate #2,0.088,3,2,Filtered Cyano,No Glucose + Filtered Cyano,3
No Glucose,No Cyano 5,Day 3 Replicate #2,0.098,3,2,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 6,Day 3 Replicate #2,0.085,3,2,No Cyano,No Glucose + No Cyano,3
No Glucose,No Cyano 7,Day 3 Replicate #2,0.089,3,2,No Cyano,No Glucose + No Cyano,3
Regular HS,No Cyano 1,Day 3 Replicate #2,0.073,3,2,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 2,Day 3 Replicate #2,0.102,3,2,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 3,Day 3 Replicate #2,0.15,3,2,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 4,Day 3 Replicate #2,0.143,3,2,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 5,Day 3 Replicate #2,0.083,3,2,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 6,Day 3 Replicate #2,0.086,3,2,No Cyano,Regular HS + No Cyano,3
Regular HS,No Cyano 7,Day 3 Replicate #2,0.095,3,2,No Cyano,Regular HS + No Cyano,3
No Glucose,No Cyano 1,Day 4 Replicate #1,0.068,4,1,No Cyano,No Glucose + No Cyano,4
No Glucose,Filtered Cyano 1,Day 4 Replicate #1,0.197,4,1,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,No Cyano 2,Day 4 Replicate #1,0.053,4,1,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 3,Day 4 Replicate #1,0.053,4,1,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 4,Day 4 Replicate #1,0.053,4,1,No Cyano,No Glucose + No Cyano,4
No Glucose,Filtered Cyano 2,Day 4 Replicate #1,0.108,4,1,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 3,Day 4 Replicate #1,0.12,4,1,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 4,Day 4 Replicate #1,0.11,4,1,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 5,Day 4 Replicate #1,0.049,4,1,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,Filtered Cyano 6,Day 4 Replicate #1,0.095,4,1,Filtered Cyano,No Glucose + Filtered Cyano,4
No Glucose,No Cyano 5,Day 4 Replicate #1,0.106,4,1,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 6,Day 4 Replicate #1,0.093,4,1,No Cyano,No Glucose + No Cyano,4
No Glucose,No Cyano 7,Day 4 Replicate #1,0.079,4,1,No Cyano,No Glucose + No Cyano,4
Regular HS,No Cyano 1,Day 4 Replicate #1,0.12,4,1,No Cyano,Regular HS + No Cyano,4
Regular HS,No Cyano 2,Day 4 Replicate #1,0.118,4,1,No Cyano,Regular HS + No Cyano,4
